0,1740,856,2035,569,411,664,1391,725,667,4591,5077,13740,7226,714,298,433,175,250,582,422,1451,2892,411,387,951,2275,1315,315,120,117,110,296,508,187,117,147,183,103,1172,121,167,253,183,166,235,673
2068,0,2121,3178,1046,411,579,590,355,285,1819,1591,4534,2636,224,71,96,87,76,179,127,408,557,112,51,156,236,186,66,21,31,18,47,160,84,29,20,26,30,199,22,144,33,27,79,41,139
938,1980,0,4631,1003,452,761,411,375,293,1501,1435,3734,1974,199,36,72,17,113,131,70,283,345,203,36,117,238,158,17,23,16,21,40,74,33,20,22,25,11,115,15,24,32,17,18,39,63
1951,2439,3654,0,1877,2965,4191,1142,1056,440,4023,3334,8407,4347,806,145,180,46,152,294,141,713,1281,157,126,304,1068,527,112,55,42,42,132,264,70,44,73,95,40,535,51,69,97,50,76,123,178
563,1001,1122,2446,0,589,482,313,335,199,1345,1149,3188,1620,316,50,63,32,59,99,38,226,321,60,30,94,189,99,44,9,8,14,29,50,26,6,10,18,9,78,3,8,14,25,23,20,41
466,344,460,3633,555,0,1067,364,307,215,1262,982,3323,1565,623,78,75,14,70,173,47,226,233,49,46,108,195,127,47,11,11,16,31,41,33,13,14,18,12,94,20,15,43,20,15,20,43
613,488,721,5099,439,992,0,1958,1470,542,2688,2275,6386,3103,837,57,113,77,138,252,94,442,448,148,82,168,359,267,43,34,19,26,59,133,52,13,52,85,17,211,20,30,68,27,51,70,97
1174,405,288,921,216,324,1525,0,3422,1010,5446,8585,11490,4557,492,182,173,141,278,445,213,842,1033,300,239,378,1005,683,157,87,49,89,219,333,179,48,101,138,67,629,84,96,201,216,139,223,263
753,272,333,867,194,219,1105,3354,0,2533,5133,2289,6626,3293,465,170,133,43,154,431,139,620,774,259,126,303,560,412,103,28,27,33,126,167,80,48,64,47,32,441,102,75,108,59,99,113,153
618,202,187,466,140,142,412,924,2549,0,6141,1774,6191,2746,849,105,153,42,209,914,99,469,639,127,93,234,476,315,73,18,30,34,118,114,79,40,66,69,32,281,58,43,73,48,42,68,131
3643,1373,1047,2837,783,869,2097,5384,4421,5490,0,14092,56101,14570,2348,420,533,202,961,2173,593,3084,3780,832,489,1068,4125,2212,450,212,194,224,544,1155,471,153,328,465,254,2807,250,484,669,354,524,770,1224
3930,1158,902,2520,730,726,1544,8622,2104,1588,13620,0,48485,15493,1488,507,555,227,696,1563,548,2592,4010,696,564,1194,5046,2843,530,249,193,245,683,1359,655,255,459,546,222,3070,282,604,686,477,484,902,1363
10398,3296,2638,6306,2133,2125,4650,10241,5536,4810,61791,47656,0,76149,5109,1558,1784,806,3617,5968,1923,8923,11223,1836,1304,3891,14108,7633,1349,754,645,782,1993,4047,1684,669,1484,1667,1055,9260,950,1764,2222,1394,1818,2853,4185
5520,1904,1392,4335,1027,1116,2443,4716,3062,2442,14052,15986,78035,0,2444,728,824,399,1865,3089,989,8118,6775,1317,870,2173,7149,4587,826,344,310,404,1074,2709,977,435,562,738,437,5889,546,1328,1222,834,1004,1728,2293
725,226,188,880,298,507,653,652,495,1054,3037,2147,6604,3127,0,678,686,155,174,1254,153,441,729,130,78,339,638,353,74,39,24,26,117,187,75,34,69,52,42,275,33,38,58,40,55,65,154
294,53,29,137,44,43,62,163,88,92,510,583,1967,995,607,0,2156,442,70,271,360,281,1094,109,212,383,774,423,99,31,23,30,99,108,53,46,50,47,31,144,27,48,34,30,54,52,62
355,113,68,236,50,39,73,219,138,128,644,685,2403,1110,485,1897,0,919,64,328,376,455,1856,253,381,622,1456,695,149,42,41,36,141,156,75,44,60,75,39,332,21,47,73,51,79,70,126
132,58,17,58,24,19,54,119,50,57,271,277,1141,483,146,454,1234,0,29,99,247,209,994,137,487,855,1343,528,101,60,36,40,82,100,67,25,29,28,29,136,13,29,26,26,29,47,43
202,66,68,188,44,45,92,285,159,219,1032,765,4642,2172,195,69,51,28,0,865,110,1186,449,62,56,109,253,133,44,34,18,27,50,80,36,23,13,29,18,126,23,32,114,30,40,38,118
576,130,97,372,98,108,269,470,401,1089,2536,1696,6871,3168,1353,273,343,84,834,0,625,970,2435,311,240,484,860,413,161,76,40,42,95,188,78,47,47,85,55,337,39,61,91,48,81,89,208
398,74,45,139,40,41,104,251,136,150,703,848,2659,1225,113,429,446,241,120,588,0,979,13574,1227,596,603,1295,586,171,89,76,55,123,246,150,50,65,105,72,423,33,100,148,83,140,169,273
1407,380,283,813,172,196,419,901,633,586,3240,3184,10991,9390,382,273,457,196,955,828,947,0,8121,952,481,802,1942,1131,329,131,117,103,327,510,273,128,212,197,130,1216,118,228,448,209,319,407,558
2671,495,327,1092,292,197,407,1116,722,716,4098,5007,15240,8415,639,1211,1705,849,392,2219,11907,7830,0,7270,1451,2313,7285,3836,994,414,217,270,801,1606,566,289,507,630,320,3364,448,1100,1108,571,890,1414,1820
380,72,121,154,37,39,118,308,432,118,882,838,2456,1493,97,147,242,139,62,324,1130,864,8062,0,729,902,3384,1068,941,539,54,67,204,275,142,60,103,135,97,532,81,197,251,248,172,218,297
328,46,26,106,30,45,59,217,122,84,516,661,1780,1124,93,152,325,422,39,200,545,540,1653,698,0,4605,4454,1700,481,212,94,79,303,305,168,107,143,161,95,593,66,153,211,145,165,205,221
763,187,80,272,91,79,134,392,198,178,1055,1471,5087,2408,306,374,588,724,103,455,497,808,2302,887,6474,0,12805,5204,2440,537,368,325,757,1081,410,251,408,471,272,1332,156,408,383,280,289,446,418
1994,233,179,896,165,189,389,983,490,539,4692,6470,19713,8834,616,820,1282,1115,367,847,1187,1909,7139,3014,4496,11624,0,28488,9686,4788,1152,1049,3001,3978,1394,1492,1970,2068,1262,5360,527,999,1213,1003,1192,2237,1652
1089,142,94,547,108,101,217,731,333,262,2556,3771,11472,5893,310,382,781,490,193,456,604,1162,3761,1077,1864,5177,27386,0,2085,1108,969,619,2709,2725,832,1054,1307,1176,656,2670,232,768,579,450,526,1034,817
309,64,35,118,27,34,48,190,101,79,540,730,1963,955,101,100,136,116,47,141,172,338,1052,1021,704,3055,9610,2236,0,687,72,129,301,481,251,95,193,208,109,541,61,133,141,103,122,184,154
117,20,11,44,13,10,27,102,51,38,300,366,1125,506,43,43,85,62,27,61,87,164,511,501,238,717,5759,1207,671,0,42,33,138,148,68,104,88,64,72,232,36,39,54,44,61,76,84
76,30,7,34,8,11,34,74,48,42,227,248,920,369,28,16,43,22,30,94,79,109,303,69,124,448,1395,1089,106,48,0,1180,1024,927,266,64,112,81,60,295,30,44,39,31,57,51,59
118,56,16,62,9,15,38,105,35,22,262,314,937,373,56,35,43,51,35,42,45,107,318,68,134,351,1205,722,117,38,1460,0,787,2375,687,56,119,154,50,450,44,64,84,67,64,83,46
288,33,44,131,37,32,57,246,89,83,692,906,2895,1291,108,55,135,88,43,110,166,320,1100,192,319,838,3379,3140,297,135,896,679,0,5007,823,303,1352,867,407,1110,106,183,235,235,183,219,235
471,152,47,279,57,61,99,357,186,124,1367,1828,5702,3161,145,118,156,91,76,137,173,529,1646,322,373,1229,4647,2980,435,157,818,1984,4850,0,4320,421,1055,1685,359,3390,275,811,531,386,356,461,360
204,52,26,106,21,33,38,199,92,60,665,832,2157,1184,51,101,90,52,44,66,81,557,695,164,177,508,1622,908,139,38,275,639,924,5005,0,206,256,392,90,4729,219,541,361,388,260,355,325
119,36,23,23,20,5,17,72,38,15,200,317,1090,493,37,22,36,26,18,33,45,141,333,98,110,389,1643,1203,128,99,51,73,391,489,139,0,1715,765,585,214,37,56,58,70,39,94,100
181,22,15,89,11,18,41,116,37,90,442,553,1895,741,61,38,59,39,23,54,86,224,576,104,141,522,2223,1428,198,66,112,128,1434,1120,256,1301,0,2283,1769,689,55,117,115,102,65,127,97
155,26,17,73,20,15,41,167,76,80,498,707,2141,986,52,67,71,41,40,98,141,210,693,102,200,552,2386,1491,195,84,90,157,949,1928,398,864,2608,0,1104,843,61,142,184,274,94,138,99
80,14,23,46,7,19,27,78,22,40,294,316,1312,490,29,18,46,33,20,51,69,157,503,109,120,351,1550,807,105,52,58,49,491,435,123,529,1214,1124,0,360,20,67,76,68,38,64,56
1104,191,119,529,85,88,198,698,398,268,3133,4030,12470,5855,305,151,298,129,238,300,405,1148,3723,690,639,1446,5939,3095,471,181,201,416,996,3153,4032,214,562,740,254,0,6365,6802,7386,6049,3207,5032,2029
87,21,10,39,13,12,26,88,60,46,305,312,1233,645,38,32,28,14,52,40,38,140,576,117,98,198,547,337,81,36,28,40,125,329,251,35,39,61,24,7094,0,1854,1002,498,235,439,171
172,58,19,80,19,30,55,157,91,82,563,761,2454,1759,42,53,77,26,49,55,120,256,1359,193,181,450,1128,675,132,46,53,102,259,806,658,99,121,134,54,9093,1962,0,1675,837,548,1005,658
209,32,20,73,36,40,69,253,100,110,712,855,2912,1614,77,62,64,30,92,109,148,355,1148,290,264,454,1382,669,142,62,49,71,262,587,435,33,152,162,81,8740,817,1461,0,1399,1465,2356,578
150,28,17,54,18,17,32,177,54,66,418,523,1818,995,59,30,62,21,23,70,78,236,591,181,148,287,1029,535,113,35,38,71,214,498,410,42,115,269,84,6968,510,1032,1418,0,982,733,299
155,34,19,126,22,17,40,200,97,62,586,612,2317,1182,56,45,73,30,35,103,141,276,999,178,185,284,1154,520,156,71,38,68,162,318,313,38,96,121,80,3948,310,456,1638,1098,0,3136,422
215,63,31,106,65,23,73,229,102,92,817,1114,3480,1911,78,55,89,33,60,112,199,346,1417,237,370,554,2146,1006,178,91,60,55,295,573,406,79,141,158,87,5999,492,933,2790,694,3099,0,1014
625,154,51,182,42,48,81,304,149,150,1278,1450,4231,2278,132,59,108,42,78,168,389,484,1746,349,280,424,1475,662,139,73,57,49,203,427,276,97,135,115,70,2119,165,549,514,217,426,933,0
