1900,220,247,1240,174,164,470,867,599,455,4542,5500,21484,8468,535,728,1262,963,263,868,1072,1933,7554,2809,4193,11418,0,26741,9007,4434,947,976,2954,3783,1321,1227,1928,1926,1232,5300,476,937,1245,884,941,1969,1748
1158,146,188,599,85,80,272,660,440,328,2455,3127,12007,5639,328,335,764,476,140,454,558,1190,4222,928,1883,5254,28245,0,1981,1048,865,577,2731,2722,853,970,1226,1166,619,2771,264,622,650,459,485,865,761
313,68,50,147,17,32,71,157,119,95,548,622,2226,907,106,97,125,92,34,127,217,312,1189,878,681,2816,9483,2096,0,672,78,94,325,338,230,111,184,155,106,500,53,95,174,103,151,168,120
158,38,19,65,11,9,38,96,55,26,215,313,1171,452,48,37,64,63,37,84,103,144,564,490,215,693,5870,1258,655,0,24,42,162,163,82,107,100,67,52,238,21,37,60,41,69,79,70
85,20,10,67,16,15,43,75,22,23,273,245,992,353,31,22,52,31,11,41,50,101,326,83,135,370,1291,1077,93,68,0,1254,981,955,281,85,107,85,59,320,21,58,65,35,41,49,57
99,26,18,60,5,16,37,67,27,38,239,236,922,368,35,32,42,55,16,49,33,129,305,72,139,312,1180,687,89,61,1360,0,755,2291,662,90,100,112,65,435,39,73,59,74,64,62,52
279,40,55,178,23,26,122,264,105,111,762,790,2939,1308,121,74,121,69,63,112,137,431,1012,233,359,898,3382,2978,282,151,788,671,0,4608,840,314,1326,847,381,1150,95,190,220,181,124,243,249
478,146,63,387,48,56,134,330,178,156,1420,1631,5838,3076,142,115,164,69,52,160,174,445,1822,315,405,1113,4529,3037,380,168,814,2008,4868,0,4066,485,997,1623,414,3310,302,736,570,433,319,513,398
168,84,23,125,18,13,75,195,95,73,653,708,2278,1134,66,45,131,39,32,64,169,545,738,169,185,511,1463,911,174,68,272,584,949,4668,0,171,290,379,92,4999,255,512,390,411,280,404,336
99,23,24,53,13,12,21,103,37,32,203,312,1144,452,33,35,33,19,11,34,53,126,387,74,118,369,1642,1223,125,108,66,80,359,444,160,0,1608,807,512,229,30,68,65,61,41,98,90
172,19,30,132,9,16,45,132,54,58,403,545,1998,644,66,28,79,31,20,64,87,172,565,108,187,583,2301,1440,163,81,154,104,1373,1099,266,1406,0,1997,987,696,61,132,138,81,98,115,131
203,23,26,129,25,25,76,141,74,80,507,599,2448,894,68,49,99,34,40,64,92,175,686,114,199,542,2394,1415,190,81,92,106,1064,1835,383,769,2473,0,1118,805,63,109,170,215,100,133,116
104,16,28,74,15,8,34,63,52,31,298,329,1280,500,30,20,42,20,26,51,62,132,410,104,124,341,1426,833,115,96,65,71,544,421,105,547,1185,1144,0,296,27,76,56,59,50,70,65
1085,191,105,831,65,74,219,654,398,338,3087,3474,12843,5928,249,177,395,117,148,311,363,952,3941,505,518,1386,6184,2896,444,212,276,332,1083,3080,3874,207,611,708,269,0,6425,6302,7595,5794,3050,4808,2061
89,20,17,50,9,19,49,87,70,54,295,296,1298,600,30,19,33,13,8,41,57,115,580,70,78,198,568,323,55,35,23,37,93,335,316,48,57,77,22,7290,0,1668,856,505,270,434,206
167,78,34,111,27,12,80,114,65,84,496,679,2500,1639,44,42,67,49,33,71,99,232,1457,158,149,385,1185,767,81,64,68,79,231,802,650,52,97,132,63,9166,1930,0,1645,850,478,933,680
273,32,49,164,10,21,83,204,157,121,923,756,3101,1595,60,67,71,32,93,115,124,350,1251,214,231,474,1335,745,142,40,48,79,231,607,460,35,124,167,77,9096,835,1368,0,1368,1543,2188,525
114,23,31,81,15,17,68,180,62,56,402,542,1913,902,42,27,49,16,44,43,63,214,674,157,123,332,1112,554,79,49,32,55,216,519,434,54,105,228,78,7146,506,846,1420,0,927,644,241
157,46,39,166,34,11,73,190,105,39,539,599,2337,1160,50,36,79,32,23,70,117,235,981,169,192,313,1111,552,110,55,59,54,170,385,343,36,99,78,42,4092,315,559,1638,976,0,3148,362
198,62,29,134,18,19,93,233,81,92,868,959,3484,1801,62,61,89,33,65,96,171,315,1435,235,279,519,2056,944,148,93,45,71,275,490,421,88,121,121,91,6221,447,957,2543,786,3230,0,923
571,143,67,199,39,23,184,327,155,160,1198,1337,4260,2218,114,92,147,47,79,186,303,497,1965,360,246,416,1544,773,188,72,68,52,222,380,331,112,101,98,55,2365,172,615,519,217,442,827,0
